  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         515         515   1.94174761E-03   1.94174761E-03   1.79999995       9.99999997E-07   50.0000000       1.00000005E-03   1000.00000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
  0.262000173       8.64267349E-07   2.08616257E-07   9.99541953E-07
  0.263000160       8.56816769E-07   2.38418579E-07   9.99774784E-07
  0.264000148       8.60542059E-07   2.08616257E-07   9.99309123E-07
  0.265000135       8.64267349E-07   1.78813934E-07   9.99309123E-07
  0.266000122       8.60542059E-07   1.78813934E-07   9.98377800E-07
  0.267000109       8.60542059E-07   1.78813934E-07   9.98377800E-07
  0.268000096       8.56816769E-07   1.78813934E-07   9.98377800E-07
  0.269000083       8.56816769E-07   2.38418579E-07   9.96515155E-07
  0.270000070       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.271000057       8.60542059E-07   1.78813934E-07   9.98377800E-07
  0.272000045       8.60542059E-07   1.78813934E-07   9.98377800E-07
  0.273000032       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.274000019       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.275000006       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.275999993       8.56816769E-07   2.38418579E-07   9.98377800E-07
  0.276999980       8.64267349E-07   2.98023224E-07   9.98377800E-07
  0.277999967       8.60542059E-07   1.78813934E-07   9.98377800E-07
  0.278999954       8.56816769E-07   1.78813934E-07   9.98377800E-07
  0.279999942       8.56816769E-07   2.38418579E-07   9.90927219E-07
  0.280999929       8.56816769E-07   1.78813934E-07   9.90927219E-07
  0.281999916       8.64267349E-07   1.78813934E-07   9.90927219E-07
  0.282999903       8.56816769E-07   2.08616257E-07   9.90927219E-07
  0.283999890       8.56816769E-07   2.38418579E-07   9.90927219E-07
  0.284999877       8.64267349E-07   2.08616257E-07   9.90927219E-07
  0.285999864       8.60542059E-07   2.38418579E-07   9.90927219E-07
  0.286999851       8.56816769E-07   2.08616257E-07   9.90927219E-07
  0.287999839       8.53091478E-07   2.38418579E-07   9.90927219E-07
  0.288999826       8.71717930E-07   1.78813934E-07   9.90927219E-07
  0.289999813       8.64267349E-07   2.38418579E-07   9.98377800E-07
  0.290999800       8.60542059E-07   2.38418579E-07   9.93721187E-07
  0.291999787       8.64267349E-07   2.38418579E-07   9.99309123E-07
  0.292999774       8.56816769E-07   1.78813934E-07   9.97446477E-07
  0.293999761       8.60542059E-07   2.08616257E-07   9.98377800E-07
  0.294999748       8.60542059E-07   2.38418579E-07   9.90927219E-07
  0.295999736       8.56816769E-07   1.78813934E-07   9.98377800E-07
  0.296999723       8.67992640E-07   2.38418579E-07   9.87201929E-07
  0.297999710       8.56816769E-07   2.68220901E-07   9.87201929E-07
  0.298999697       8.67992640E-07   2.98023224E-07   9.94015863E-07
  0.299999684       8.56816769E-07   1.78813934E-07   9.99338226E-07
  0.300999671       8.56816769E-07   2.08616257E-07   9.99280019E-07
  0.301999658       8.64267349E-07   1.78813934E-07   9.99489203E-07
  0.302999645       8.60542059E-07   2.38418579E-07   9.90927219E-07
  0.303999633       8.60542059E-07   2.38418579E-07   9.90927219E-07
  0.304999620       8.56816769E-07   2.98023224E-07   9.98377800E-07
  0.305999607       8.60542059E-07   1.78813934E-07   9.96515155E-07
  0.306999594       8.60542059E-07   2.08616257E-07   9.98559699E-07
  0.307999581       8.60542059E-07   2.98023224E-07   9.99702024E-07
  0.308999568       8.56816769E-07   2.38418579E-07   9.99854819E-07
  0.309999555       8.56816769E-07   2.08616257E-07   9.99169060E-07
  0.310999542       8.67992640E-07   2.38418579E-07   9.96515155E-07
  0.311999530       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.312999517       8.60542059E-07   2.98023224E-07   9.97781171E-07
  0.313999504       8.60542059E-07   2.38418579E-07   9.99529220E-07
  0.314999491       8.64267349E-07   2.08616257E-07   9.98657924E-07
  0.315999478       8.60542059E-07   2.98023224E-07   9.98588803E-07
  0.316999465       8.64267349E-07   2.38418579E-07   9.99200438E-07
  0.317999452       8.67992640E-07   2.08616257E-07   9.99411668E-07
  0.318999439       8.60542059E-07   1.78813934E-07   9.99829354E-07
  0.319999427       8.67992640E-07   2.38418579E-07   9.99424856E-07
  0.320999414       8.60542059E-07   2.68220901E-07   9.99541953E-07
  0.321999401       8.56816769E-07   2.38418579E-07   9.99774784E-07
  0.322999388       8.64267349E-07   2.38418579E-07   9.99309123E-07
  0.323999375       8.64267349E-07   1.49011612E-07   9.99309123E-07
  0.324999362       8.60542059E-07   2.68220901E-07   9.99309123E-07
  0.325999349       8.64267349E-07   1.78813934E-07   9.99309123E-07
  0.326999336       8.56816769E-07   2.98023224E-07   9.98377800E-07
  0.327999324       8.64267349E-07   2.98023224E-07   9.98377800E-07
  0.328999311       8.67992640E-07   2.08616257E-07   9.98377800E-07
  0.329999298       8.67992640E-07   1.78813934E-07   9.98377800E-07
  0.330999285       8.60542059E-07   1.49011612E-07   9.96515155E-07
  0.331999272       8.56816769E-07   2.38418579E-07   9.98377800E-07
  0.332999259       8.64267349E-07   2.38418579E-07   9.98377800E-07
  0.333999246       8.67992640E-07   2.38418579E-07   9.98377800E-07
  0.334999233       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.335999221       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.336999208       8.64267349E-07   2.08616257E-07   9.98377800E-07
  0.337999195       8.56816769E-07   3.27825546E-07   9.98377800E-07
  0.338999182       8.64267349E-07   2.08616257E-07   9.98377800E-07
  0.339999169       8.64267349E-07   2.38418579E-07   9.98377800E-07
  0.340999156       8.60542059E-07   2.08616257E-07   9.98377800E-07
  0.341999143       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.342999130       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.343999118       8.60542059E-07   2.98023224E-07   9.98377800E-07
  0.344999105       8.60542059E-07   2.38418579E-07   9.98377800E-07
  0.345999092       8.67992640E-07   2.98023224E-07   9.98377800E-07
  0.346999079       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.347999066       8.60542059E-07   2.38418579E-07   9.99309123E-07
  0.348999053       8.60542059E-07   2.98023224E-07   9.97446477E-07
  0.349999040       8.64267349E-07   2.38418579E-07   9.99309123E-07
  0.350999027       8.60542059E-07   2.38418579E-07   9.97446477E-07
  0.351999015       8.67992640E-07   2.68220901E-07   9.99309123E-07
